,Comments
1913,VERY LITTLE PREPERATION FOR CKT. A GOOD AMOUNT OF QUESTIONS ON CKT WERE EITHER NOT INSTRUCTED OR SKIMMED OVER.
1914,ASK ME AFTER EVAL.
1915,"Chuck, Bill, and The Hammer did a great job teaching and helping us understand the material and the lab experience. They were very invested in our learning and taught us everything they know, in order for us to be successful by the end of training. Very thankful for them."
1916,SPEED REDUCTIONS OUTDATED
1917,I did not feel we had enough time to study for CKT 1 due to the new non-radar problems being so difficult and each day going home and practicing them over and over.
1918,The newer problems were to busy to understand the correct application on restrictions. Half the time you're second guessing yourself but you were unsure on the correct way to restriction the a/c from other. I believe there should be problems with less traffic to ensure students und
1919,Based on the intensity of the scenarios I'm unsure whether or not I'm properly issuing the correct restrictions.
1920,The instructors were very helpful and knowledgeable about the materials.
1921,Orders not up to date
1922,Knowledgeable and passionate
1923,Very friendly.
1924,"Many acronyms were new, so therefore difficult to initially follow."
1925,Course needs to be longer.
1926,"LESSON PLAN OBJECTIVES DURING CLASS FOR MY UNDERSTANDING SHOULD BE TAKEN SLOWLY, MAKING THE STUDENT READ OUT LOUD AND JUST GO THROUGH PAGES OF THE BOOK DOES NOT ENSURE THAT THE STUDENT IS ACTUALLY LEARNING. IF THE DURATION TIME FOR A LESSON PLAN IS 7 HOURS I THINK WE SHOULD AT LEAS"
1927,There wasn't enough time to present all the materials learned. The course materials did not provide enough information on a lot of different scenarios therefore when there were questions it was difficult to go back to look for a resource.
1928,The first room we had was small and did not provide enough space to learn in.
1929,the DOP test portion was not on the current version of the maintenance handbook
1930,No PPE was needed. We were instructed to assume those measurements were automatically good that do normally require PPE.
1931,IN MY OPINION THE NON RADAR PORTION OF THE TRAINING ESPECIALLY THE SCENARIOS SHOULD BE AT LEAST 3 WEEKS LONG. THIS WAY THE STUDENT SHOULD FEEL AT LEAST BETTER PREPARED FOR NON RADAR EVALS
1932,Gary was extremely helpful with any questions I had. I really appreciated the amount of time and effort that he put in to help me understand what I was getting wrong.
1933,"In the class room part of the class when we when over the lesson plans in the book, the instructors had the students take turns reading the lessons out loud, there was very little instruction during the lessons other than what was in the book. It was assumed that since it was read"
1934,"gary was very approachable and always tried to help. Mac was not very approachable to me, he would always just tell you your questing was not specific enough and he couldn't awnser it"
1935,just way to fast
1936,not at the pace it was taught
1937,The whole class was way to fast and to much information to learn in the time frame. No practice time other than map study. I wish there was a place on campus were students could go for one on one help or tutoring. They expect you to practice outside of class with class mates which
1938,"the part tasks, they just make you stand up in front of the class and try do demonstrate something you went over the day before."
1939,"they were way to hard and way to fast, they were more overwhelming and didn't create learning"
1940,AT TIMES THE BOOK ITSELF FELT LIKE IT LACKED SOME DEPTH IN ORDER TO REALLY UNDERSTAND A SUBJECT.
1941,AT TIMES THE COURSE SEEMED RUSHED. IF THE POINT IS TO UNDERSTAND RULES AND APPLICATIONS OF THEM THEN TIME SHOULD BE ALOTTED TO FOR AN TEACHING AND LEARNING. in NON RADAR LABS STUDENTS WERE CONSTANTLY BEING BOMBARDED WITH NEW SCENAERIOS WITH NEW RULES WITH LITTLE TIME TO ACTUALLY UN
1942,NEED TO TAKE MORE TIME IN LEARNING APPLICATION OF RULES AND SEEING TRAFFIC. RATHER THAN JUST RUNNING PROBLEM AFTER PROBLEM.
1943,"I FELT LIKE THEY DID BUT STILL LACKING IN THIS AREA. CANT RUSH THORUGH THE PROBLEMS. AS SOON AAS A PROBLEM FINISHED THE STUDENT RECEIVED A 10 TO 15 MIN DEBRIEF WITH A GO HOME AND FIX IT AND YOULL BE GOOD. THAT MAY NOT BE ENOUGH FOR A STUDENT TO ACTUALLY GRASPED THE MATERIAL, ESPECI"
1944,CANNOT COMMENT ON THIS SINCE EVALS DO NOT TAKE PLACE UNTILL AFTER THIS SURVEY
1945,"AGAIN, CANNOT GIVE ACCURATE ASSESMENT OF OVERALL SECTION UNTIL AFTER EVALS"
1946,"The order of the lessons were not conducive to effective learning. There was a lack of building upon each lesson to make the next lesson more effective and efficient. I believe a more efficient order would be lesson 1,2,7,10,3,4,5,8,12,6,9,11,13. That way each lesson would be able"
1947,I feel that the amount of time given to go over academics for radar were not sufficient in allowing students to fully grasp concepts prior to lab.
1948,I feel that the course went by a little too quickly. I believe it would have been beneficial to have the course extended for an additional week or so. This would have possibly eased my doubts about having learned all the information that was provided.
1949,"For non radar labs 23-25, I felt a little uneasy about where my level of knowledge was while running through the problems. I don't feel like we changed pace appropriately enough. It felt as though as we went from one level to another in a day (from ""easy"" to ""difficult"")."
1950,Marion and the Daves were great.
1951,"The labs were fantastic at reinforcing classroom lessons, and clarifying abstract theory."
1952,Big fan of the mini radar!
1953,"During the non-radar problems, sometimes the traffic got backed up so that the technique that was being taught, would be hidden and not as much could be learned from that problem. I understand the need for more traffic to better prepare the student for the evaluation at the end, ho"
1954,"Being off the street, I felt that it was difficult to keep up with the pace of the course. Although I understand that need for it to be condensed, the course could have been stretched out to make more time to go over material. I feel like basics could have been shorter, non-radar c"
1955,"Small Classroom was distracting when there were more than 4 students in the room. With the ATD's running, the classroom was hot."
1956,The pace on Thursday afternoon and Friday was very accelerated. Back to back simulators did not leave time for a thorough debrief and then preparation for the next Simulator.
1957,"The basic course is okay. Learning was not supported in a basic ""building block"" approach. The subject matter was presented, the students were allowed a small amount of time to prepare, and then they were thrown into a scenario where there responses were evaluated without much (con"
1958,"Initially the first ATD as the FAA Evaluator(Part 135 Check ride)I was unclear about the evaluation standards, the applicant kept making obvious mistakes (that I was not catching), and then the applicant tried to kill me in the ATD forcing me to intervene. This was A LOT to throw a"
1959,Even the DPE in our class was critiqued on their performance. The expectations should be clearly stated (this is an introduction...it's okay to not be perfect...it is the stated goal of the course to present principles clearly and to preparing you for OJT).
1960,See above...don't feel like the course culminated in learning on the last day...only confusion and frustration with the lack of ability to evaluate an applicant in the controlled environment of the ATD.
1961,Acceptable pacing overall but could have gone faster
1962,Everything was rushed and the ckt1 and non-radar evaluations are one day after another. The ckt1 should be done AT LEAST 1 WEEK before the evaluations. This way we can study for the ckt1 while still learning how to manage our boards and then during the week of evaluations study for
1963,I found it hard to concentrate at sometimes because of the typing from people taking notes directly onto their computer.
1964,"Richard Payton was one of the best instructors we've had yet. Not only was he HIGHLY knowledgeable about current guidance, but he made sure not to teach only the outdated material that was given to him. He also kept an appropriate pace where other teachers in other classes have dra"
1965,"We were one of the first classes to run the new problems for non radar, we received a lot more information to prepare us for evaluations than the classes before us however received no extra time to learn all the new information. I think the new problems will really help with evalua"
1966,another week in non radar would have been helpful
1967,"There should be more focus placed on running scenarios. Book work and classroom instruction is important but we are being graded on the evaluations off of a scenario not a written test. More ""repetitions"" in labs will give students more confidence overall. The new scenarios took th"
1968,"The slides were out of date, but Richard kept us informed on current guidance."
1969,Very nice presentation and very professional.
1970,The sides really need to be updated and follow a better flow of how these are actually created.
1971,The information is outdated in several lessons and to aide in student understanding the slides have to be corrected when math and answers were not correct.
1972,"This should either be more than one class or the lessons should have more guided lessons instead of just the sides, then an exercise for you to try and figure it out on your own having to add several lessons together that were not given in order."
1973,Mike Elliott did an awesome job on the lessons he taught.
1974,I won't know until many months from now...
1975,Clarify the questions in the quiz
1976,Did not match up with current guidance.
1977,I did not perform to my proficiency level.
1978,We had a lot of issues with our equipment including having to move on several occasions.
1979,I would have preferred being taught on ARTS 3E since that is what is applicable to my facility.
1980,See comment below
1981,"The mandatory CBI pre-requisite is grossly outdated and needs to be completely abolished altogether! I learned more about the CEGS system on the first day when they did a ""review"" than taking the entire CBI pre-req course."
1982,It could have been shorter with less down time.
1983,Very helpful
1984,We had some technical issues in my lab. My speaker was not working for Jeske departure rolling calls for the first half of the lab scenarios.
1985,There were tangents a couple of instructors got into when discussing topics in the classroom. It made the topic more confusing. This mostly happened when NU was instructing.
1986,References and some information out of date
1987,Several slides in multiple presentations were out-dated
1988,MEL was out of date.
1989,Slides were out of date
1990,Two days of condensed schedules to make up runs from previous day made for hectic schedule and increased mental fatigue among trainees and trainers.
1991,The CBI course is very out dated and should be incorporated into the actual course material
1992,"Excellent environs: Classrooms, sims, computers, etc. all in good working condition. Very helpful. Would rather classroom course ware for take home (Drop Box) be available on big pc computer in class rather than iPad."
1993,would have liked to have more lab time for block 2.
1994,Construction noise
1995,Did not have a copy of the TI or JO available for reference and study.
1996,Kent did an extremely good job of this. Several of the other instructors that came through did not. Often they would just read the text straight out of the book with out any understanding of the material or would teach specific things that contradicted the text.
1997,I felt we spent way too much time on parts of block 3. In particular the chart activities took up a large portion of class and did not really teach anything above what was in the text. I felt that blocks 4 and 5 were rushed and could have used extra time taken from block 3.
1998,See chart activities from block 3.
1999,"He could have went into more detail about certain things, the CTI students would already understand the subject so he would move on while the off the street guys didn't quite understand completely."
2000,"This course could have been a lot shorter. Matt was extremely knowledgeable and helpful, however I believe he maybe expounded a bit too much, causing each subject to take longer than it had to."
2001,#NAME?
2002,The materials were adequate but needed better explanation
2003,Material was somewhat rushed and not appropriately spread out. Did not present a clear picture of what the system was doing and why
2004,Material was somewhat rushed and not appropriately spread out. Did not present a clear picture of what the system was doing and why.
2005,Although the entire lab was not available throughout the course which impeded the learning process
2006,Not everything was adequately covered. Didn't feel like I understood the material
2007,Not all of the equipment was available to provide a environment conducive to learning and understanding
2008,Not all of the equipment was available to provide a environment conducive to learning and understanding
2009,all instructor had a vast knowledge on this subject
2010,All the instructor kept the classroom participates very engaged in the subject
2011,some of the videos were dated.
2012,I'm unsure what would be classified as a lab or workshop.
2013,"Patient instructor, kept on task but never too busy to help."
2014,"Friendly, thorough."
2015,"When questions were raised, he was careful to answer the question(s) to ensure understanding."
2016,construction noise in the adjacent room
2017,Fred was very knowledgeable and very patient. This is a very technical course. I imagine it is very difficult to teach in an understandable manner. Fred was very good in his instruction.
2018,"Fred and Dave did an excellent job helping me. I was often lost and needed extra help. Dave often had to ""babysit me"" to help my understanding of the exercises and concepts."
2019,Especially with the help of the instructors.
2020,Fred was a pure delight to learn from as a result of his over the top enthusiasm for TERP's.
2021,The lab book needs to be re-written.Errors in student guide need to be corrected.
2022,The lab book needs to be re-written.Errors in student guide need to be corrected.
2023,Should have been a little longer with more real life scenarios.
2024,"The course was a little slower paced than it could have been. I felt at times that we were simply trying to use up time. That said, for someone off the street with minimal aviation exposure, this extra time would allow for them to study the materials in their off time."
2025,"Kent presented everything in a way that was applicable and easily understandable, the same cannot be said about some of the other instructors."
2026,"I did not have a lead instructor but I did enjoy them; Kent, Ray, Carly & Mr. Miller, etc. helped me to understand in laymans terms; Mark was very funny and made basics bearable; Maria was nice."
2027,Some things I learned in my en route class was terminal and I also learned some pilot information but nonetheless I think it served its purpose.
2028,The course seemed to be dragged on - did not seem as though the amount of time spent was needed - would have been good to use that time for review or in class study.
2029,DVA's are not widely used in my area of the country.
2030,Temporary destruction.
2031,"Our lead instructor was VERY knowledgeable. Some of the other instructors that came through for only select days, not so much and were unreceptive to questions that they didn't have answers to."
2032,"There Hand out exercises were not effective and not a good use of our time. It would have been more helpful to practice entering ""hypothetical"" 135/121 operator into WebOPSS. This way we could see the current OpsSpec and the different options available."
2033,construction being done outside often made hearing classroom activities difficult
2034,"With over 30 students in the room, there were way to many other conversations going on. It was difficult for 1 instructor to keep the additional chatter down. I would recommend limiting the size of the classes to mitigate the issue."
2035,Student to instructor ratio is too high.
2036,never went over objectives
2037,too many distractions
2038,EXCERCISES WERE A COMPLETE WASTE OF TIME
2039,Course materials were lacking Elite functionality. Different procedures and process details are required when using DRD and USB media.
2040,The SS Lab book is severely lacking in process and procedures. The general student consensus between the students is that the Lab book was useless after the first week.
2041,Lead instructor was great! Other instructors from time to time tended to only read from book and not elaborating or making information more understandable to those without prior aviation knowledge.
2042,Lots of construction noise on last day during exam.
2043,There was construction in the classroom right next door and it was loud.
2044,The class room next door was under construction for the majority of the class time. Sanding vacuuming and other loud construction noises were very distracting.
2045,The exercise would have gone much smoother if the examples on the board matched or at least paralleled the desired outcome.
2046,too much down time due to broken lab equipment
2047,unorganized
2048,labs were broken
2049,use of training aids was not utilized by instructor. broken lab equipment
2050,it was broke more than it wasn't
2051,eh
2052,But instruction was not clear or explained very well. Was very hard to follow
2053,was not explained in a way that was easy to follow
2054,I wish we spent more time in the labs and running scenarios.
2055,"It is hard to say prior to taking the evaluations, however it seems like there is potential for there to be things on an evaluation that we haven't seen before a lot or used a lot which is concerning."
2056,Dude was pretty solid with his knowledge.
2057,"Was hit and miss with some things, but overall very well-spoken."
2058,"I missed one day due to sickness, although I know it was my fault, it was hard to try and understand the material on my own time."
2059,"Some classmates I'm sure strongly disagree with this, but that is because they weren't very good at non-radar, and they can't take responsible for themselves. I thoroughly enjoyed this course."
2060,"Some of the academics I think could have been shorter, and replaced with more lab work."
2061,The exercises should be given in paper form. It was very difficult to navigate between the lesson and the various manual excerpts.
2062,"Tim and Rainer were both extremely knowledgeable about the course. They both seemed to go the extra mile to make sure they not only could teach the subject, but also remain updated on how the system is used in the field."
2063,"Any questions were answered and if they didn't know the answer, they knew where or who to go to and had an answer in short order"
2064,It might have been difficult for anyone who came in with very little knowledge of how the system
2065,Excellent labs
2066,"The instructors did the best they could. The material is dense and more geared to an air carrier operation, which is a foreign field to me."
2067,Mike Hakim in particular was friendly and approachable.
2068,"Conducting this course on G1/G2 equipment may look cost effective from managements standpoint, but as an ELITE site person; the training would have been more positive with Elite hardware and established a benchmark."
2069,"Outdated Materials, Procedures don't even work with equipment. Using an outdated SSM that does not work and then explaining how you have to skip steps to make it work is not a good way to train someone who has not done this before."
2070,Doing labs on outdated equipment that does not reflect read world experience where as no members of my class even have a G1 string. All member were either elite or G4.
2071,This training would have been very beneficial had it been when I was a newer ASI. At the point of taking this class I had already taught myself how to use the webopss program.
2072,Construction noise in adjacent room.
2073,Construction/maintenance in an adjacent classroom was a routine distraction from class.
2074,"I feel the written test should have been done after the academics, not after doing labs for a few weeks. It seemed like a choice between studying problems on your off time or to study bookwork."
2075,I think this course is a good start to weed out the people who should not be controllers. I feel anyone who puts in the time in energy can pass this course.
2076,I am doubtful of SMS applicability to operators whose certificate I am likely to be assigned to.
2077,We were allowed to utilize the Elite equipment when we asked which helped to understand the differences and try to learn my new equipment.
2078,Construction going on next door.
2079,Room construction next door. This needs to be done when students are not in class or use a different classroom.
2080,Many lesson slides out of date
2081,Some subjects skimmed over
2082,There is too much information given in a very short period of time. Some of the items we only get to practice once before EVALS. I do not think that is enough for us to fully understand the material being taught and be able to perform well and apply it during EVALS.
2083,"With the many recent changes in WebOpss template changes, the slides for reference to the course OpSpecs were not updated."
2084,"Both instructors were encyclopedias of SMS knowledge. Their ability to explain the content in understandable and relatable terms was excellent, particularly with such a diverse group of students with varied backgrounds."
2085,I feel like I received a solid SMS foundation and will keep this information at hand as reference in the future.
2086,Instructor is already aware of new NATCA contract & changes to FDT.
2087,the larger class size was sometimes a distraction
2088,overly full class had delays and caused deviations from the schedule occasionally
2089,-It was difficult to hear the instructors about 25% of the class due to noise from construction in the room adjacent to the classroom. There was no attempt to relocate the course to a quieter area of the building.
2090,This course did not provide anything I wanted or needed.
2091,Some of the material was not cover more than once and it needs to be applied in problems in EVALS. I do not believe the amount of training provided in the scenarios are enough to prepare us for all the possible scenarios that we will be evaluated on. It was enough time to grasp som
2092,Both our Lead and our A-Lead were knowledgeable. Both were great when questions were asked.
2093,"Even though I was excited to learn about TBFM, we currently do not use it in my job. I am in severe weather at the Command Center."
2094,the examples did not match the handouts
2095,"with the amount of students, and complexity of material, as well as the gap in knowledge base. it was difficult to has everybody on the same page without side conversations, and people just not listening, and asking the same questions over and over."
2096,"The environment as a whole was free from distractions, however, some of the new problems caused a lot of distractions from instructors all wanting it done a specific way. It was necessarily the actual way the problem was solved, but more the way that each instructor said ""This is t"
2097,"I decided to choose disagree because I think that the course needs a little reworking. The course more then likely was paced correctly when in Non-Radar the old problems were presented. However, now that their are new, much more difficult problems the course became paced inefficien"
2098,"As stated in my previous comments, the new problems I feel helped me personally, but overall did not help most people. It felt as though the instructors were 'telling' me what to do in a pre-plan at the beginning rather than me actually learning the problem. Telling me to just writ"
2099,Tim and Rainer were both excellent resources for this material.
2100,There were some minor items that require updating but the instructors did very well at explaining those as they appeared and that updates are currently under weigh.
2101,This material is important to me as an ARTCC TMC however there are some lessons that are not well suited for terminal specialists.
2102,The pacing was excellent given the constraints of the schedule however in this case our class could have benefitted from an extra day to accommodate discussion between classmates on the issues we were covering. This was especially true when it came time to cover some of the advance
2103,"The group exercises were rushed, needed more time to produce a better product."
2104,"We had a large number of instructors, and some appeared to be more knowledgeable than others. My response indicates a perceived average of the many that we had instructing our class, but some were below or above this level."
2105,Rich and Mike were very effective instructor and made the course enjoyable and informative.
2106,This course will greatly help me manage my outreach efforts effectively to the public.
2107,"The performance evaluations I think did show my proficiency level when I had an RPO who could effectively run the problem. Out of the two PEs, only the first one I think showed where I actually stood. The second the instructor was stopping the problem multiple times to have the RPO"
2108,Use of the TSATS workstations was a very valuable resource in learning about a very complex technological platform.
2109,This course has an EFT of information to cover. It was very well organized and executed but I believe it will be necessary to split out content to be specifically tailored between terminal and center specialties particularly when TSAS becomes a more integral part of the platform.
2110,DERBB
2111,"The information content was up-to-date, but much of the content came off as severely dated, especially the videos. Many of our charts for block 3 were also fairly out of date and worn."
2112,"Some instructors presented the material in a way that was easy to understand, while others purely read out of the book."
2113,"In the PIREP area, the detection of sulfuric gases in the cockpit was left out."
2114,Class size was too large with the amount of instructors available to help.
2115,SHOULD BE USING THE SAS MOCK SITE TO INCORPORATE ANSWERING DCTS IN THE REAL SYSTEM.
2116,"This course could be shorter IF the class size was smaller. However with 36 students in this class, the presentations/classroom exercises had to lengthened out."
2117,The were too many students in class. So it took longer to teach the lessons which lead to a lot of side conversations.
2118,"I felt that if there were more instances of demonstration by the student(s) to drive more difficult points home would have been beneficial. Especially for students which were OTS, course material such as phraseology, and airspace would probably come easier with physical practice un"
2119,"We didn't have a lead instructor. Some (Kent, Ray, and Carly) were very knowledgeable and helpful. Some had just started or had experience working in an environment not applicable to that lesson content."
2120,"They should come to a consensus on how the LVBD works prior to presenting it to the class, they had a ten min discussion about one of its functions in front of class"
2121,I wont be using this info
2122,It would help if the class was longer.
2123,Every question that we had was promptly addresses by Tim and Rainer.
2124,Some of the examples were outdated the quality looked as if it was from the 1990's
2125,I feel as if the course didn't go into detail enough on certain things that could've been described a little better or something like asking a question the instructor would be like well this is all you need to know
2126,"We had several instructors throughout our course. Some instructors appeared to be in training. While I'm sure all instructors were knowledgeable, not all had the experience or knowledge for every question we had. ex: asking a career tower instructor questions about the en route env"
2127,"Occasionally, we'd have an instructor read verbatim from the course material. While not detrimental to our training, it'd be nice to not have such dry material."
2128,"While not completely free from distractions, the distractions were welcome and appreciated. An example would be a story from the instructors experience or a joke."
2129,Feel there needs to be more stuff brought to the forefront earlier in order to practice more. Have never seen different scenerios that you see within the last week or less. More practice with 44/22kt rule earlier show FRC on strips starting way earlier didn't see an FRC until last
2130,Unable to say at this time because I have yet to be evaluated.
2131,The message entry test is %5 percent of the total grade it did help on. However with the Radar evaluations with are 66% of the grade not helpful at all.
2132,I do not remember any labs or workshops that were made available.
2133,I have not taken any labs.
2134,I have not taken any labs.
2135,RPOS and a few R-sides require some additionally training. RPO error's were common.
2136,"I feel that immediately throwing a student under water, and then keeping them there is not congruent to a positive learning environment. I didn't feel that I was getting good practice in the problems until we were through with the learning points. And I feel that purposefully makin"
2137,"Although they supported the lectures, I felt that what increased my understanding was the lectures, not the labs/workshops. The labs/workshops only helped me to practice actually doing what I learned."
2138,When we did problems they encompassed everything and then we were told it will be covered later. I find it difficult to learn concepts I have to use if I don't understand them. Waiting until the very end to try to put together the pieces to me felt a lot longer of a process.
2139,Floors in the classroom continue to be dirty and unclean can tell they haven't been swept.
2140,"Spent more time in non-radar which only accounts for 14 percent of grade, when radar is worth 66%. Feel more time is needed for 66% of our grade and our careers. With only 2-3 weeks practice."
2141,"I believe the course should be extended a few days because by the time you begin to understand the massive amount of information, that is being taught to us in such a short amount of time, you are taking the evaluations."
2142,The instructors in the lab do not know the SOP very well and we are always getting mixed information.
2143,"Jeff and Dave were very knowledgeable ERAM, radar the course information and Air traffic."
2144,There was a lot of information compressed in a small amount of time. I believe adding an extra week would have been very beneficial to this course.
2145,"Depends on who was teaching, sometimes storytime got a little out of hand."
2146,"Again, Storytime."
2147,More time allotted for radar practice.
2148,Haven't been evaluated.
2149,haven't been evaluated.
2150,"Helpful for message entry (5% of grade), but absolutely no help for evals (66% of grade.)"
2151,No help for evaluations when all you have is message entry practice and they don't talk back and there is no interaction.
2152,"The instructors were very knowledgeable about the information, However I feel that the instructor do not have the best teaching technique, Even though they know everything about aero center and eram, they could use more instruction on teaching technique."
2153,"The academic/bookwork portion of the course was a lot of wasted time in my opinion, I would have been more beneficial to use that time practicing pointout situations, handoff's, emergency's and phraseology. The lesson plans on radar vectoring and weather is basically useless at thi"
2154,"The classroom learning environment was great. The eram lab was not, a lot of row instructors and R side are rude and offensive"
2155,There was a change in how to handle FRC halfway through the class when it was optional in the SOP
2156,"While most of the material was understandable, some of the information was hard to discern at our current education level without instructor guidance."
2157,"While the pace was strong and enabled us to learn quickly, it constantly felt rushed. Another couple days would have gone a long way and it felt that without committing most of your off duty hours and weekends you would fall behind."
2158,Some row instructors were more thorough than others
2159,I felt like the Leads know a lot more about the SOP's and LOA's then the instructors. Some of the instructors should brush up on the SOP's. Getting conflicting information about a subject we have such little time to learn can be frustrating.
2160,"In my opinion to make this course and training more effective it should be modified with at least an extra week in ""nonradar"" running extra problems and focus the radar training more on point outs and eliminate whatever is not necessary for us to learn at this stage of our training"
2161,"Some non radar strips had airports without the IKAO K in front of the airport, it would be nice to have some consistency on the strips. Also, the new non radar strips had errors on the strips and we had to manually edit them. I suggest having better quality control for non radar st"
2162,"I am off of the street and keeping up with non radar was extremely difficult, I think if we had one more week of non radar scenarios, it would benefit us greatly!"
2163,There are aircraft in the database that are no longer in service with the airlines and with the military
2164,This course has a lot of information in a short period of time. With the amount of money spent on people and the time that was invested in them. The overall pass fail rate for the program with more fails then pass that is a lot of money being wasted.
2165,Scheduled for evaluations next week so I cannot give an opinion on this.
2166,"Jeff and Dave are extremely knowledgeable. However, when running simulations I had some trouble with discrepancies between what I was being taught in the classroom and what the instructor for my scenario thought I should be doing. There's no time to have discussions about what to d"
2167,Some of the aircraft we were told to memorize learned about don't even fly anymore.
2168,Classrooms could use new chairs. Current chairs are very squeaky.
2169,Many row instructors tell you different things that isn't what the SOP or The lead Instructors have shown the class
2170,Row instructors didn't teach the same way to learn non radar students had to spend more time finding out what is correct for Aerocenter and what is incorrect
2171,"It's no secret that the course moves at an extremely fast pace. Though the information can be a lot to handle at times, the amount of information that is covered in such a short period of time can often be overwhelming. The course needs to have more information about radar display."
2172,"Like I said, once you get in to radar, you hit the ground running. Academics are very well outlined and the objectives are met. Once you get in to the lab, the information is often comparable to drinking out of a fire hose. There is no easy way to go over the material in the ERAM p"
2173,Instructor Michael Baptiste was very approachable. Instructor Ray McLawhorn did not seem interested in teaching the class. Made some of us feel like we upset him the whole time and made the class unpleasant at times.
2174,"Some of the material is a little out-dated, as instructors would let us know also. Not to the extent that it hindered our learning, but knowing that some items are out-dated made me feel that we were missing aspects of the job."
2175,In reference to the lead instructors Rich Green and Rich Wiggins. Their knowledge of the material and the way that they presented it made this section of the course easier to navigate.
2176,Rich and Rich have been amazing instructors and are always more than willing to assist in understanding anything I had issues with.
2177,The training was with a group of inspectors that had obviously been using webopss for some time. For that reason the course moved very fast and I found it hard to keep up as someone who had not used webopss at all.
2178,"All of the instructors were very knowledgeable and helpful throughout the entire course. One instructor Ray Mc...(I cant remember the entire spelling?) would sometimes be condescending if we didn't grasp something immediately, and often would leave some students feeling discouraged"
2179,It would seem more appropriate to either start the nonradar practice scenarios sooner and have more time to run them with the instructors one on one. This would allow the students a better understanding of the things they may have done incorrectly and allow the instructor to go thr
2180,It became frustrating when some of the row instructors would teach us different than our leads which caused confusion. It would be nice if all of the row instructors were on the same page as our leads.
2181,Our class had the updated nonradar scenarios so there were multiple times the strips were not complete and we were having to add/replace information on the strips during our preplan.
2182,I have not had the opportunity yet to use this training.
2183,See above.
2184,there is a lot of material to learn in a very small amount of time. the problems seem to increase at a level where it seems nearly impossible to keep up with regardless of the amount of hours that had been put into studying at that point
2185,The lead instructors Rich and Rich and Rich W's stand-ins were great.
2186,"In many situations there seemed to be excessive word usage to convey a simple concept or meaning, often leading to unnecessary confusion."
2187,I wish we started running harder scenarios sooner to help us prepare better for evals.
2188,I already new how to enter data in WebOpss before the class
2189,"By the time I took the class, I had a lot of experience with WebOpss and did need the training."
2190,I thought it was going to be more about how to do my job as an ASI and not another how-to-enter-data course.
2191,Sometimes people talking while you are on runs can be a distraction. Including instructors when they are trying to explain something to a monitor. I would suggest to speak to both monitor and local/ground when the problem/ scenario is over.
2192,I would recommend to always combine the instruction with practice since it was hard to understand how it the theory was put into practice. If they are done together understanding will be a lot quicker and meaningful to the student.
2193,The TSS is out dated. They are not user friendly starting with the pace or way the computer talks. Then the computer comprehension to the different accents.
2194,It helped me better understand how radar works.
2195,I Felt I could have used more time in Non radar. Particular more practice building strip marking and phraseology skills before the scenarios began or at least before the real hard problems began.
2196,At times it felt as though we did not spend a sufficient amount of time on position specific lessons or topics.
2197,Sometimes the TSS labs would shut down or stop working in the middle of a scenario. This was mitigated by resetting the computers which was cumbersome at times.
2198,We should have ran more problems before evals to ensure that we were getting it and everything was working not just 10 days worth of evals before something that is extremely difficult and people have never seen before.
2199,The CKT for this section and the book material should be worded the same in order to show if the students better understand the knowledge or not.
2200,The CKT did not reflect my knowledge of this section the CKT was written in a way to confuse and therefore show a score lower than the actual knowledge of the section
2201,The ROW instructors were quite different from what our instructors and what the SOP and LOAs explain. Lots of inconsistency with what we are taught and read. Made things difficult to understand some concepts.
2202,"I could definitely used more time in this portion of training. Even without the snowday, Which compressed our run schedule for Radar scenarios it would have been paced too fast in my opinion. Having to run an extra problem each day cut our time with the row instructors short which"
2203,We were told at different times that we would not use the material or it would be done differently in real life.
2204,Thomas was the best instructor. Thomas skills and patient is a gift sent from heaven. Thomas always prepared us for the next day and kept us ahead of the game. He goes beyond to help us repeatedly understand something that seems difficult. Scott was very polite and helpful. Scott w
2205,Sometimes the instructors would want you to do things their way when we have been taught another way by Thomas.
2206,Most were fair. Some lack compassion. There are times were some would be very rude and yell while your on the phone and running your problem. I had a hard time communicating with the R-sides. They would be very rude and short.
2207,Maybe one more week of running scenarios
2208,I feel that my answer reflects all of our teachers except for Ray. He relayed too many irrelevant stories and didn't read from the book enough. I felt like I had to walk away from class and teach myself what we were supposed to cover that day. This method of teaching seemed fine fo
2209,There were a few bugs in some of the problems but overall the lab equipment was good. The close proximity of the stations kind of made learning difficult at times. For example many times I heard someone next to me give a clearance which tipped me off that there was something wrong
2210,"Thomas Lynch was extremely knowledgeable. The SAIC instructors were not as knowledgeable. All instruction by SAIC was mixed, confusing, wrong or misleading from A lead instruction."
2211,"Thomas Lynch was very understandable and easily understood. SAIC instructors were not. Aggressive, easily aggravated, harsh tones, extremely poor understanding of how to present subject matter to students."
2212,"Thomas Lynch was very approachable and helpful in all ways. Although, SAIC instructors were not. Need to be taught how to actually teach and encourage students to succeed. SAIC instructors had bad attitudes towards student success."
2213,"Curriculum is not at all conducive of student success. Restructure, you will have a much high success rate than 40 percent."
2214,SAIC instructors during radar and non-radar scenarios were extremely poor overall. Does not support a learning environment. Bad attitudes and excessive yelling. Horrible environment.
2215,Vastly poorly paced. Not whatsoever conducive to student success. No wonder the failure rate is high! Change this.
2216,Scenarios due to SAIC instructors made the overall learning environment poor.
2217,"Evaluators are to be rumored to be extremely misguided. To extreme, in grading thus causing a very low success rate."
